comName,State Status,Abundance,Sort as,atlasUrl
Mountain Bluebird,,Accidental,,
Townsend's Solitaire,,Accidental,,
Veery,,,,https://vabirdatlas.org/species-account/veery/
Gray-cheeked Thrush,,,,
Bicknell's Thrush,,,,
Swainson's Thrush,,,,https://vabirdatlas.org/species-account/swainsons-thrush/
Hermit Thrush,,,,https://vabirdatlas.org/species-account/hermit-thrush/
Wood Thrush,,,,https://vabirdatlas.org/species-account/wood-thrush/
American Robin,,,,https://vabirdatlas.org/species-account/american-robin/
Varied Thrush,,Rare,,
Northern Wheatear,,Accidental,,
House Sparrow,5,,,https://vabirdatlas.org/species-account/house-sparrow/
White Wagtail,,Accidental,,
American Pipit,,,,
Sprague's Pipit,2,Accidental,,
Evening Grosbeak,,Rare,,
Pine Grosbeak,,Accidental,,
Gray-crowned Rosy-Finch,,Accidental,,
House Finch,5,,,https://vabirdatlas.org/species-account/house-finch/
Purple Finch,,,,https://vabirdatlas.org/species-account/purple-finch/
Redpoll,,Rare,,
Red Crossbill,,Occasional,,https://vabirdatlas.org/species-account/red-crossbill/
White-winged Crossbill,,Rare,,
Pine Siskin,,,,https://vabirdatlas.org/species-account/pine-siskin/
Lesser Goldfinch,,Accidental,,
American Goldfinch,,,,https://vabirdatlas.org/species-account/american-goldfinch/
Lapland Longspur,,,,
Chestnut-collared Longspur,2,Accidental,,
Smith's Longspur,,Accidental,,
Snow Bunting,,,,
Bachman's Sparrow,,Extirpated,,
Grasshopper Sparrow,,,,https://vabirdatlas.org/species-account/grasshopper-sparrow/
Black-throated Sparrow,,Accidental,,
Lark Sparrow,,Occasional,,
Lark Bunting,,Accidental,,
Chipping Sparrow,,,,https://vabirdatlas.org/species-account/chipping-sparrow/
Clay-colored Sparrow,,Occasional,,
Field Sparrow,,,,https://vabirdatlas.org/species-account/field-sparrow/
Brewer's Sparrow,,Accidental,,
Fox Sparrow,,,,
Fox Sparrow (Red),,,,
American Tree Sparrow,,Occasional,,
Dark-eyed Junco,,,,https://vabirdatlas.org/species-account/dark-eyed-junco/
Dark-eyed Junco (Oregon),,Rare,,
Dark-eyed Junco (Pink-sided),,Accidental,,
White-crowned Sparrow,,,,
White-crowned Sparrow (Gambel's),,Occasional,,
Harris's Sparrow,,Rare,,
White-throated Sparrow,,,,
Vesper Sparrow,,,,https://vabirdatlas.org/species-account/vesper-sparrow/
LeConte's Sparrow,,Rare,,
Seaside Sparrow,,,,https://vabirdatlas.org/species-account/seaside-sparrow/
Nelson's Sparrow,,,,
Nelson's Sparrow (Nelson's),,,,
Nelson's Sparrow (James Bay),,,,
Nelson's Sparrow (Atlantic Coast),,,,
Saltmarsh Sparrow,,,,https://vabirdatlas.org/species-account/saltmarsh-sparrow/
Henslow's Sparrow,,Occasional,,https://vabirdatlas.org/species-account/henslows-sparrow/
Savannah Sparrow,,,,https://vabirdatlas.org/species-account/savannah-sparrow/
Savannah Sparrow (Ipswich),,,,
Song Sparrow,,,,https://vabirdatlas.org/species-account/song-sparrow/
Lincoln's Sparrow,,,,
Swamp Sparrow,,,,https://vabirdatlas.org/species-account/swamp-sparrow/
Green-tailed Towhee,,Accidental,,
Spotted Towhee,2,Accidental,,
Eastern Towhee,,,,https://vabirdatlas.org/species-account/eastern-towhee/
Yellow-breasted Chat,,,,https://vabirdatlas.org/species-account/yellow-breasted-chat/
Yellow-headed Blackbird,,Occasional,,
Bobolink,,,,https://vabirdatlas.org/species-account/bobolink/
Eastern Meadowlark,,,,https://vabirdatlas.org/species-account/eastern-meadowlark/
Western Meadowlark,,Accidental,,
Orchard Oriole,,,,https://vabirdatlas.org/species-account/orchard-oriole/
Bullock's Oriole,,Rare,,
Baltimore Oriole,,,,https://vabirdatlas.org/species-account/baltimore-oriole/
Scott's Oriole,,Accidental,,
Red-winged Blackbird,,,,https://vabirdatlas.org/species-account/red-winged-blackbird/
Shiny Cowbird,,Accidental,,
Brown-headed Cowbird,,,,https://vabirdatlas.org/species-account/brown-headed-cowbird/
Rusty Blackbird,,,,
Brewer's Blackbird,,Occasional,,
Common Grackle,,,,https://vabirdatlas.org/species-account/common-grackle/
Boat-tailed Grackle,,,,https://vabirdatlas.org/species-account/boat-tailed-grackle/
Ovenbird,,,,https://vabirdatlas.org/species-account/ovenbird/
Worm-eating Warbler,,,,https://vabirdatlas.org/species-account/worm-eating-warbler/
Louisiana Waterthrush,,,,https://vabirdatlas.org/species-account/louisiana-waterthrush/
Northern Waterthrush,,,,
Golden-winged Warbler,,,,https://vabirdatlas.org/species-account/golden-winged-warbler/
Blue-winged Warbler,,,,https://vabirdatlas.org/species-account/blue-winged-warbler/
Black-and-white Warbler,,,,https://vabirdatlas.org/species-account/black-and-white-warbler/
Prothonotary Warbler,,,,https://vabirdatlas.org/species-account/prothonotary-warbler/
Swainson's Warbler,,,,https://vabirdatlas.org/species-account/swainsons-warbler/
Tennessee Warbler,,,,
Orange-crowned Warbler,,,,
Lucy's Warbler,,Accidental,,
Nashville Warbler,,,,
Virginia's Warbler,,Accidental,,
Connecticut Warbler,,,,
MacGillivray's Warbler,,Accidental,,
Mourning Warbler,,,,https://vabirdatlas.org/species-account/mourning-warbler/
Kentucky Warbler,,,,https://vabirdatlas.org/species-account/kentucky-warbler/
Common Yellowthroat,,,,https://vabirdatlas.org/species-account/common-yellowthroat/
Hooded Warbler,,,,https://vabirdatlas.org/species-account/hooded-warbler/
American Redstart,,,,https://vabirdatlas.org/species-account/american-redstart/
Kirtland's Warbler,,Accidental,,
Cape May Warbler,,,,
Cerulean Warbler,,,,https://vabirdatlas.org/species-account/cerulean-warbler/
Northern Parula,,,,https://vabirdatlas.org/species-account/northern-parula/
Magnolia Warbler,,,,https://vabirdatlas.org/species-account/magnolia-warbler/
Bay-breasted Warbler,,,,
Blackburnian Warbler,,,,https://vabirdatlas.org/species-account/blackburnian-warbler/
Northern Yellow Warbler,,,,https://vabirdatlas.org/species-account/yellow-warbler/
Chestnut-sided Warbler,,,,https://vabirdatlas.org/species-account/chestnut-sided-warbler/
Blackpoll Warbler,,,,
Black-throated Blue Warbler,,,,https://vabirdatlas.org/species-account/black-throated-blue-warbler/
Palm Warbler,,,,
Palm Warbler (Western),,,,
Palm Warbler (Yellow),,,,
Pine Warbler,,,,https://vabirdatlas.org/species-account/pine-warbler/
Yellow-rumped Warbler,,,,https://vabirdatlas.org/species-account/yellow-rumped-warbler/
Yellow-throated Warbler,,,,https://vabirdatlas.org/species-account/yellow-throated-warbler/
Prairie Warbler,,,,https://vabirdatlas.org/species-account/prairie-warbler/
Black-throated Gray Warbler,,Rare,,
Townsend's Warbler,,Rare,,
Black-throated Green Warbler,,,,https://vabirdatlas.org/species-account/black-throated-green-warbler/
Canada Warbler,,,,https://vabirdatlas.org/species-account/canada-warbler/
Wilson's Warbler,,,,
Summer Tanager,,,,https://vabirdatlas.org/species-account/summer-tanager/
Scarlet Tanager,,,,https://vabirdatlas.org/species-account/scarlet-tanager/
Western Tanager,,Occasional,,
Northern Cardinal,,,,https://vabirdatlas.org/species-account/northern-cardinal/
Rose-breasted Grosbeak,,,,https://vabirdatlas.org/species-account/rose-breasted-grosbeak/
Black-headed Grosbeak,,Rare,,
Blue Grosbeak,,,,https://vabirdatlas.org/species-account/blue-grosbeak/
Lazuli Bunting,,Accidental,,
Indigo Bunting,,,,https://vabirdatlas.org/species-account/indigo-bunting/
Painted Bunting,,,,https://vabirdatlas.org/species-account/painted-bunting/
Dickcissel,,Rare,,https://vabirdatlas.org/species-account/dickcissel/
Passenger Pigeon,4,,,
Eskimo Curlew,4,,,
Carolina Parakeet,4,,,
Bachman's Warbler,4,,,
Short-billed Gull,,Accidental,,
